PlayerName,TeamID,PositionID
Cyrus Christie,9,2
Fabricio Agosto Ramírez,9,1
André Schürrle,9,4
Aleksandar Mitrovic,9,4
Alfie Mawson,9,2
Sergio Rico,9,1
Joe Bryan,9,2
Timothy Fosu-Mensah,9,2
André-Frank Zambo Anguissa,9,3
Luciano Vietto,9,4
Ibrahima Cissé,9,3
Zeze Steven Sessegnon,9,2
Ben Hamer,10,1
Jonas Lössl,10,1
Christopher Schindler,10,2
Chris Löwe,10,2
Tommy Smith,10,2
Mathias Jorgensen,10,2
Scott Malone,10,2
Florent Hadergjonaj,10,2
Terence Kongolo,10,2
Aaron Mooy,10,3
Rajiv van La Parra,10,3
Jonathan Hogg,10,3
Philip Billing,10,3
Tom Ince,10,4
Danny Williams,10,3
Abdelhamid Sabiri,10,3
Alex Pritchard,10,3
Ramadan Sobhi,10,3
Juninho Bacuna,10,3
Collin Quaner,10,4
Laurent Depoitre,10,4
Steve Mounie,10,4
Elias Kachunga,10,4
Erik Durm,10,2
Adama Diakhaby,10,4
Isaac Mbenza,10,3
Jon Gorenc Stankovic,10,2
Ryan Schofield,10,1
Kasper Schmeichel,11,1
Eldin Jakupovic,11,1
Wes Morgan,11,2
Christian Fuchs,11,2
Danny Simpson,11,2
Yohan Benalouane,11,2
Benjamin Chilwell,11,2
Harry Maguire,11,2
Ricardo Domingos Barbosa Pereira,11,2
Jonny Evans,11,2
Marc Albrighton,11,3
Demarai Gray,11,3
Daniel Amartey,11,3
Wilfred Ndidi,11,3
Vicente Iborra,11,3
Matty James,11,3
Hamza Choudhury,11,3
Adrien Sebastian Perruchet Silva,11,3
Fousseni Diabaté,11,4
James Maddison,11,3
Jamie Vardy,11,4
Shinji Okazaki,11,4
Kelechi Iheanacho,11,4
Rachid Ghezzal,11,3
Filip Benkovic,11,2
Caglar Söyüncü,11,2
Nampalys Mendy,11,3
Josh Knight,11,2
Simon Mignolet,12,1
Loris Karius,12,1
Dejan Lovren,12,2
Alberto Moreno,12,2
Nathaniel Clyne,12,2
Joseph Gomez,12,2
Joel Matip,12,2
Ragnar Klavan,12,2
Trent Alexander-Arnold,12,2
Virgil van Dijk,12,2
Andrew Robertson,12,2
Alex Oxlade-Chamberlain,12,3
Jordan Henderson,12,3
Adam Lallana,12,3
Sadio Mané,12,4
Georginio Wijnaldum,12,3
Mohamed Salah,12,4
James Milner,12,3
Fabio Henrique Tavares,12,3
Naby Keita,12,3
Roberto Firmino,12,4
Dominic Solanke,12,4
Xherdan Shaqiri,12,3
Alisson Ramses Becker,12,1
Daniel Sturridge,12,4
Divock Origi,12,4
Rafael Camacho,12,3
Riyad Mahrez,13,3
Ederson Santana de Moraes,13,1
Claudio Bravo,13,1
John Stones,13,2
Vincent Kompany,13,2
Nicolás Otamendi,13,2
Kyle Walker,13,2
Danilo Luiz da Silva,13,2
Benjamin Mendy,13,2
Aymeric Laporte,13,2
Fabian Delph,13,3
Raheem Sterling,13,4
David Silva,13,3
Fernando Luiz Rosa,13,3
Kevin De Bruyne,13,3
Ilkay Gündogan,13,3
Leroy Sané,13,4
Bernardo Mota Veiga de Carvalho e Silva,13,3
Phil Foden,13,3
Brahim Diaz,13,4
Oleksandr Zinchenko,13,3
Sergio Agüero,13,4
Gabriel Fernando de Jesus,13,4
Arijanet Muric,13,1
David De Gea,14,1
Sergio Romero,14,1
Chris Smalling,14,2
Phil Jones,14,2
Luke Shaw,14,2
Marcos Rojo,14,2
Antonio Valencia,14,2
Matteo Darmian,14,2
Daley Blind,14,2
Eric Bailly,14,2
Victor Lindelöf,14,2
Ashley Young,14,2
José Diogo Dalot Teixeira,14,2
Alexis Sánchez,14,4
Nemanja Matic,14,3
Juan Mata,14,3
Marouane Fellaini,14,3
Ander Herrera,14,3
Jesse Lingard,14,4
Anthony Martial,14,4
Paul Pogba,14,3
Scott McTominay,14,3
Frederico Rodrigues de Paula Santos,14,3
Marcus Rashford,14,4
Romelu Lukaku,14,4
Andreas Pereira,14,3
Lee Grant,14,1
Robert Elliot,15,1
Karl Darlow,15,1
Martin Dubravka,15,1
DeAndre Yedlin,15,2
Ciaran Clark,15,2
Jamaal Lascelles,15,2
Paul Dummett,15,2
